!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678912345678912345678912345612345612312123     w  j  i  t
H           H                       H2                                               1.00E+00     0.00      0.0              0
HD          OH+                     HDO+        H                                    6.73E-10     0.00      0.0              5       !  2  1  1  1
HD          OH+                     H2O+        D                                    3.37E-10     0.00      0.0              5       !  1  2  1  1
H2          OD+                     HDO+        H                                    6.73E-10     0.00      0.0              5       !  2  1  2  1
H2          OD+                     H2O+        D                                    3.37E-10     0.00      0.0              5       !  1  2  2  1
D2          OH+                     D2O+        H                                    3.37E-10     0.00      0.0              5       !  1  1  1  2
D2          OH+                     HDO+        D                                    6.73E-10     0.00      0.0              5       !  2  2  1  2
HD          OD+                     D2O+        H                                    3.37E-10     0.00      0.0              5       !  1  1  2  2
HD          OD+                     HDO+        D                                    6.73E-10     0.00      0.0              5       !  2  2  2  2
D2          OD+                     D2O+        D                                    1.01E-09     0.00      0.0              5       !  1  1  1  3
H3O+        E-                      OH          H           H                        2.58E-07    -0.50      0.0              5
H2DO+       E-                      OD          H           H                        8.60E-08    -0.50      0.0              5       !  1  1  1  1
H2DO+       E-                      OH          D           H                        1.72E-07    -0.50      0.0              5       !  2  2  1  1
HD2O+       E-                      OD          D           H                        1.72E-07    -0.50      0.0              5       !  2  1  1  2
HD2O+       E-                      OH          D           D                        8.60E-08    -0.50      0.0              5       !  1  3  1  2
D3O+        E-                      OD          D           D                        2.58E-07    -0.50      0.0              5       !  1  1  1  3
CH2         O                       CO          H           H                        1.33E-10     0.00      0.0              5
CHD         O                       CO          D           H                        1.33E-10     0.00      0.0              5       !  2  1  1  1
CD2         O                       CO          D           D                        1.33E-10     0.00      0.0              5       !  1  1  1  2
H3+         O                       H2O+        H                                    3.60E-10     0.00      0.0              5
H2D+        O                       HDO+        H                                    2.40E-10     0.00      0.0              5       !  2  1  1  1
H2D+        O                       H2O+        D                                    1.20E-10     0.00      0.0              5       !  1  2  1  1
HD2+        O                       D2O+        H                                    1.20E-10     0.00      0.0              5       !  1  1  1  2
HD2+        O                       HDO+        D                                    2.40E-10     0.00      0.0              5       !  2  2  1  2
D3+         O                       D2O+        D                                    3.60E-10     0.00      0.0              5       !  1  1  1  3
H2          C2H+                    C2H2+       H                                    1.10E-09     0.00      0.0              5
HD          C2H+                    C2HD+       H                                    7.33E-10     0.00      0.0              5       !  2  1  1  1
HD          C2H+                    C2H2+       D                                    3.67E-10     0.00      0.0              5       !  1  2  1  1
H2          C2D+                    C2HD+       H                                    7.33E-10     0.00      0.0              5       !  2  1  2  1
