H              0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
CH             0   0   0   1   0   0   1   0   0   0   0   0   0   0   0   0   0
C              0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0
H2             0   0   0   2   0   0   0   0   0   0   0   0   0   0   0   0   0
CH2            0   0   0   2   0   0   1   0   0   0   0   0   0   0   0   0   0
NH             0   0   0   1   0   0   0   1   0   0   0   0   0   0   0   0   0
N              0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
CH3            0   0   0   3   0   0   1   0   0   0   0   0   0   0   0   0   0
NH2            0   0   0   2   0   0   0   1   0   0   0   0   0   0   0   0   0
CH4            0   0   0   4   0   0   1   0   0   0   0   0   0   0   0   0   0
OH             0   0   0   1   0   0   0   0   1   0   0   0   0   0   0   0   0
O              0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0
NH3            0   0   0   3   0   0   0   1   0   0   0   0   0   0   0   0   0
H2O            0   0   0   2   0   0   0   0   1   0   0   0   0   0   0   0   0
C2             0   0   0   0   0   0   2   0   0   0   0   0   0   0   0   0   0
C2H2           0   0   0   2   0   0   2   0   0   0   0   0   0   0   0   0   0
C2H            0   0   0   1   0   0   2   0   0   0   0   0   0   0   0   0   0
HCN            0   0   0   1   0   0   1   1   0   0   0   0   0   0   0   0   0
CN             0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0
C2H3           0   0   0   3   0   0   2   0   0   0   0   0   0   0   0   0   0
CO             0   0   0   0   0   0   1   0   1   0   0   0   0   0   0   0   0
H2CN           0   0   0   2   0   0   1   1   0   0   0   0   0   0   0   0   0
HCO            0   0   0   1   0   0   1   0   1   0   0   0   0   0   0   0   0
NO             0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0
H2CO           0   0   0   2   0   0   1   0   1   0   0   0   0   0   0   0   0
HNO            0   0   0   1   0   0   0   1   1   0   0   0   0   0   0   0   0
O2             0   0   0   0   0   0   0   0   2   0   0   0   0   0   0   0   0
O2H            0   0   0   1   0   0   0   0   2   0   0   0   0   0   0   0   0
HS             0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0
S              0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0
H2O2           0   0   0   2   0   0   0   0   2   0   0   0   0   0   0   0   0
H2S            0   0   0   2   0   0   0   0   0   0   1   0   0   0   0   0   0
OCN            0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0
CH2CO          0   0   0   2   0   0   2   0   1   0   0   0   0   0   0   0   0
CO2            0   0   0   0   0   0   1   0   2   0   0   0   0   0   0   0   0
N2O            0   0   0   0   0   0   0   2   1   0   0   0   0   0   0   0   0
N2             0   0   0   0   0   0   0   2   0   0   0   0   0   0   0   0   0
NO2            0   0   0   0   0   0   0   1   2   0   0   0   0   0   0   0   0
NS             0   0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0
SO             0   0   0   0   0   0   0   0   1   0   1   0   0   0   0   0   0
NCCN           0   0   0   0   0   0   2   2   0   0   0   0   0   0   0   0   0
OCS            0   0   0   0   0   0   1   0   1   0   1   0   0   0   0   0   0
S2             0   0   0   0   0   0   0   0   0   0   2   0   0   0   0   0   0
F              0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1
HF             0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   1
HNC            0   0   0   1   0   0   1   1   0   0   0   0   0   0   0   0   0
C3             0   0   0   0   0   0   3   0   0   0   0   0   0   0   0   0   0
C3H            0   0   0   1   0   0   3   0   0   0   0   0   0   0   0   0   0
C3H2           0   0   0   2   0   0   3   0   0   0   0   0   0   0   0   0   0
C2N            0   0   0   0   0   0   2   1   0   0   0   0   0   0   0   0   0
C2H4           0   0   0   4   0   0   2   0   0   0   0   0   0   0   0   0   0
C3H3           0   0   0   3   0   0   3   0   0   0   0   0   0   0   0   0   0
C2O            0   0   0   0   0   0   2   0   1   0   0   0   0   0   0   0   0
SiH            0   0   0   1   0   0   0   0   0   1   0   0   0   0   0   0   0
SiC            0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0
C2H5           0   0   0   5   0   0   2   0   0   0   0   0   0   0   0   0   0
CH3CCH         0   0   0   4   0   0   3   0   0   0   0   0   0   0   0   0   0
SiH2           0   0   0   2   0   0   0   0   0   1   0   0   0   0   0   0   0
HCSi           0   0   0   1   0   0   1   0   0   1   0   0   0   0   0   0   0
SiH3           0   0   0   3   0   0   0   0   0   1   0   0   0   0   0   0   0
SiCH2          0   0   0   2   0   0   1   0   0   1   0   0   0   0   0   0   0
PH             0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   1   0
CP             0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   1   0
CS             0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0   0
C4             0   0   0   0   0   0   4   0   0   0   0   0   0   0   0   0   0
C4H            0   0   0   1   0   0   4   0   0   0   0   0   0   0   0   0   0
H2CCC          0   0   0   2   0   0   3   0   0   0   0   0   0   0   0   0   0
H2CCCC         0   0   0   2   0   0   4   0   0   0   0   0   0   0   0   0   0
CH2CN          0   0   0   2   0   0   2   1   0   0   0   0   0   0   0   0   0
HC3N           0   0   0   1   0   0   3   1   0   0   0   0   0   0   0   0   0
C4H3           0   0   0   3   0   0   4   0   0   0   0   0   0   0   0   0   0
HPO            0   0   0   1   0   0   0   0   1   0   0   0   0   0   0   1   0
C5             0   0   0   0   0   0   5   0   0   0   0   0   0   0   0   0   0
C3N            0   0   0   0   0   0   3   1   0   0   0   0   0   0   0   0   0
C5H            0   0   0   1   0   0   5   0   0   0   0   0   0   0   0   0   0
C3O            0   0   0   0   0   0   3   0   1   0   0   0   0   0   0   0   0
C5H2           0   0   0   2   0   0   5   0   0   0   0   0   0   0   0   0   0
C6             0   0   0   0   0   0   6   0   0   0   0   0   0   0   0   0   0
C6H            0   0   0   1   0   0   6   0   0   0   0   0   0   0   0   0   0
CH3C4H         0   0   0   4   0   0   5   0   0   0   0   0   0   0   0   0   0
C6H2           0   0   0   2   0   0   6   0   0   0   0   0   0   0   0   0   0
SO2            0   0   0   0   0   0   0   0   2   0   1   0   0   0   0   0   0
C7             0   0   0   0   0   0   7   0   0   0   0   0   0   0   0   0   0
