HD+         H2                      H2D+        H                                   1.56E-09     0.00      0.0    0.    0.  5     
D2+         H2                      HD2+        H                                   1.04E-09     0.00      0.0    0.    0.  5     
D2+         HD                      D3+         H                                   5.20E-10     0.00      0.0    0.    0.  5     
H2                                  H2+         E-                                  1.20E-17     0.00      0.0    0.    0.  1     
H2          C                       CH2                                             1.00E-17     0.00      0.0    0.    0.  5     
H           H                       H2                                              1.00E+00     0.00      0.0    0.    0.  0     
H2                                  H+          H-                                  3.90E-21     0.00      0.0    0.    0.  1     
He                                  He+         E-                                  6.50E-18     0.00      0.0    0.    0.  1     
C                                   C+          E-                                  1.30E-17     0.00    255.0    0.    0.  2     
HD                                  HD+         E-                                  1.20E-17     0.00      0.0    0.    0.  1     
HD          C                       CHD                                             1.00E-17     0.00      0.0    0.    0.  5     
H2D+        CO                      HCO+        HD                                  1.13E-09     0.00      0.0    0.    0.  5     
CH3D                                CH2         HD                                  6.50E-18     0.00   1169.5    0.    0.  2     
O                                   O+          E-                                  3.40E-17     0.00      0.0    0.    0.  1     
He+         CO                      O           C+          He                      1.40E-09    -0.50      0.0    0.    0.  5     
H2          H2O+                    H3O+        H                                   6.40E-10     0.00      0.0    0.    0.  5     
HD          H2O+                    H2DO+       H                                   4.80E-10     0.00      0.0    0.    0.  5     
D2          H2O+                    HD2O+       H                                   3.20E-10     0.00      0.0    0.    0.  5     
CH3+        O                       H2CO+       H                                   4.00E-11     0.00      0.0    0.    0.  5     
CH2D+       O                       HDCO+       H                                   2.67E-11     0.00      0.0    0.    0.  5     
N                                   N+          E-                                  2.70E-17     0.00      0.0    0.    0.  1     
HN2+        E-                      NH          N                                   6.40E-07    -0.51      0.0    0.    0.  5     
D2          CH2+                    CHD2+       H                                   8.00E-10     0.00      0.0    0.    0.  5     
H2          CH2+                    CH3+        H                                   1.60E-09     0.00      0.0    0.    0.  5     
D2          CHD+                    CD3+        H                                   4.00E-10     0.00      0.0    0.    0.  5     
HD          CH2+                    CH2D+       H                                   1.20E-09     0.00      0.0    0.    0.  5     
H3+         CH4                     CH5+        H2                                  2.40E-09     0.00      0.0    0.    0.  5     
C+          S                       S+          C                                   1.50E-09     0.00      0.0    0.    0.  5     
CH3D        HN2+                    N2          CH4D+                               8.90E-10     0.00      0.0    0.    0.  5     
C           HCO+                    CO          CH+                                 1.10E-09     0.00      0.0    0.    0.  5     
CH2D2       HN2+                    N2          CH3D2+                              8.90E-10     0.00      0.0    0.    0.  5     
H3+         CH3CN                   CH3CNH+     H2                                  1.05E-08    -0.50      0.0    0.    0.  5     
CH2D+       HCN                     CH2DCNH+                                        6.75E-09    -0.50      0.0    0.    0.  5     
CHD2+       HCN                     CHD2CNH+                                        4.50E-09    -0.50      0.0    0.    0.  5     
CD3+        HCN                     CD3CNH+                                         2.25E-09    -0.50      0.0    0.    0.  5     
CH2D2                               CHD         HD                                  8.67E-18     0.00   1169.5    0.    0.  2     
He+         N2                      N2+         He                                  6.40E-10     0.00      0.0    0.    0.  5     
H3+         H2S                     H3S+        H2                                  3.70E-09    -0.50      0.0    0.    0.  5     
H2D+        H2S                     H2DS+       H2                                  2.22E-09    -0.50      0.0    0.    0.  5     
H2F+        E-                      H2          F                                   3.50E-07    -0.50      0.0    0.    0.  5     
H2          C3H+                    C3H3+                                           1.69E-12    -1.00      0.0    0.    0.  5     
HD          C3H+                    C3H2D+                                          1.69E-12    -1.00      0.0    0.    0.  5     
CH4         O2+                     HCOOH2+     H                                   3.80E-12    -1.80      0.0    0.    0.  5     
CH3D        O2+                     DCOOH2+     H                                   9.50E-13    -1.80      0.0    0.    0.  5     
CH2D2       O2+                     DCOOHD+     H                                   1.27E-12    -1.80      0.0    0.    0.  5     
H2          He+                     He          H2+                                 7.20E-15     0.00      0.0    0.    0.  5     
HD                                  D+          H-                                  1.95E-21     0.00      0.0    0.    0.  1     
He+         CO                      O           C+          He                      1.60E-09     0.00      0.0    0.    0.  5     
D+          O                       O+          D                                   3.04E-10     0.47    -11.5    0.    0.  5     
H2          OH+                     H2O+        H                                   1.01E-09     0.00      0.0    0.    0.  5     
D           D                       D2                                              1.00E+00     0.00      0.0    0.    0.  0     
He+         N2                      N+          N           He                      9.60E-10     0.00      0.0    0.    0.  5     
H2          CH+                     CH2+        H                                   1.20E-09     0.00      0.0    0.    0.  5     
HD          CH+                     CHD+        H                                   8.00E-10     0.00      0.0    0.    0.  5     
S                                   S+          E-                                  1.30E-17     0.00    480.0    0.    0.  2     
H2S                                 S           H2                                  1.30E-17     0.00   2577.0    0.    0.  2     
He+         HDS                     S+          He          HD                      3.61E-09    -0.50      0.0    0.    0.  5     
C           HN2+                    N2          CH+                                 1.10E-09     0.00      0.0    0.    0.  5     
H3+         HF                      H2F+        H2                                  1.20E-08    -0.50      0.0    0.    0.  5     
C           C2H3+                   C3H+        H2                                  1.00E-09     0.00      0.0    0.    0.  5     
O           OH+                     O2+         H                                   7.10E-10     0.00      0.0    0.    0.  5     
He+         CH3OH                   OH+         CH3         He                      1.10E-09    -0.50      0.0    0.    0.  5     
C+          CH4                     C2H3+       H                                   1.10E-09     0.00      0.0    0.    0.  5     
CH3OH                               OH          CH3                                 1.30E-17     0.00    752.0    0.    0.  2     
H           CH2                     CH          H2                                  6.64E-11     0.00      0.0    0.    0.  5     
H3+         D                       H2D+        H                                   1.00E-09     0.00      0.0    0.  200.  5     
H2D+        O                       H2O+        D                                   1.20E-10     0.00      0.0    0.    0.  5     
H2          HDO+                    H3O+        D                                   1.60E-10     0.00      0.0    0.    0.  5     
H2          OD+                     H2O+        D                                   3.37E-10     0.00      0.0    0.    0.  5     
H2          CD+                     CH2+        D                                   4.00E-10     0.00      0.0    0.    0.  5     
H2          CHD+                    CH3+        D                                   4.00E-10     0.00      0.0    0.    0.  5     
HD+         H2                      H3+         D                                   5.20E-10     0.00      0.0    0.    0.  5     
H2+         HD                      H3+         D                                   5.20E-10     0.00      0.0    0.    0.  5     
HD          H2O+                    H3O+        D                                   1.60E-10     0.00      0.0    0.    0.  5     
CO                                  O           C                                   1.30E-17     1.17    105.0    0.    0.  2     
CH2         O                       CO          H2                                  8.00E-11     0.00      0.0    0.    0.  5     
CO2                                 CO          O                                   1.30E-17     0.00    854.0    0.    0.  2     
H3+         CO2                     HCO2+       H2                                  2.00E-09     0.00      0.0    0.    0.  5     
He+         CO2                     CO+         O           He                      8.70E-10     0.00      0.0    0.    0.  5     
O           DCO                     CO2         D                                   5.00E-11     0.00      0.0    0.    0.  5     
HCO+        E-                      CO          H                                   2.40E-07    -0.69      0.0    0.    0.  5     
CH3+        O                       HCO+        H2                                  4.00E-10     0.00      0.0    0.    0.  5     
C           H3O+                    HCO+        H2                                  1.00E-11     0.00      0.0    0.    0.  5     
C           DCO+                    CO          CD+                                 1.10E-09     0.00      0.0    0.    0.  5     
DCO+        E-                      CO          D                                   2.40E-07    -0.69      0.0    0.    0.  5     
CH2D+       O                       DCO+        H2                                  1.33E-10     0.00      0.0    0.    0.  5     
CHD2+       O                       DCO+        HD                                  2.67E-10     0.00      0.0    0.    0.  5     
H3+         H2O                     H3O+        H2                                  5.90E-09    -0.50      0.0    0.    0.  5     
H2O         F                       HF          OH                                  1.40E-11     0.00      0.0    0.    0.  5     
H2          O-                      H2O         E-                                  7.00E-10     0.00      0.0    0.    0.  5     
H3+         HDO                     H2DO+       H2                                  3.54E-09    -0.50      0.0    0.    0.  5     
H3+         HDO                     H3O+        HD                                  2.36E-09    -0.50      0.0    0.    0.  5     
HDO                                 OH          D                                   6.50E-18     0.00    485.5    0.    0.  2     
H2DO+       Na                      Na+         HDO         H                       2.07E-09     0.00      0.0    0.    0.  5     
H3+         D2O                     H2DO+       HD                                  3.54E-09    -0.50      0.0    0.    0.  5     
H3+         D2O                     HD2O+       H2                                  1.77E-09    -0.50      0.0    0.    0.  5     
D2O                                 OD          D                                   1.30E-17     0.00    485.5    0.    0.  2     
H3+         D2O                     H3O+        D2                                  5.90E-10    -0.50      0.0    0.    0.  5     
D2O         F                       DF          OD                                  1.40E-11     0.00      0.0    0.    0.  5     
HD2O+       Na                      Na+         D2O         H                       1.03E-09     0.00      0.0    0.    0.  5     
N           OH                      NO          H                                   4.06E-11     0.05    -78.0    0.    0.  5     
C           OH                      CO          H                                   1.00E-10     0.00      0.0    0.    0.  5     
H-          O                       OH          E-                                  1.00E-09     0.00      0.0    0.    0.  5     
H3O+        E-                      OH          H           H                       2.58E-07    -0.50      0.0    0.    0.  5     
O           HCO                     CO          OH                                  5.00E-11     0.00      0.0    0.    0.  5     
H3O+        E-                      OH          H2                                  6.02E-08    -0.50      0.0    0.    0.  5     
N           OD                      NO          D                                   4.06E-11     0.05    -78.0    0.    0.  5     
C           OD                      CO          D                                   1.00E-10     0.00      0.0    0.    0.  5     
H2DO+       E-                      OD          H           H                       8.60E-08    -0.50      0.0    0.    0.  5     
D-          O                       OD          E-                                  1.00E-09     0.00      0.0    0.    0.  5     
H2DO+       E-                      OD          H2                                  2.01E-08    -0.50      0.0    0.    0.  5     
O           DS+                     S+          OD                                  2.90E-10     0.00      0.0    0.    0.  5     
O           DCO                     CO          OD                                  5.00E-11     0.00      0.0    0.    0.  5     
H2O2                                OH          OH                                  1.30E-17     0.00    750.0    0.    0.  2     
HDCO        O2H                     H2O2        DCO                                 1.10E-12     0.00   5870.0    0.    0.  5     
HDO2                                OD          OH                                  1.30E-17     0.00    750.0    0.    0.  2     
H2CO        O2D                     HDO2        HCO                                 2.20E-12     0.00   5870.0    0.    0.  5     
D2CO        O2H                     HDO2        DCO                                 2.20E-12     0.00   5870.0    0.    0.  5     
HDCO+       O2                      O2H         DCO+                                3.85E-11     0.00      0.0    0.    0.  5     
N           O2D                     O2          ND                                  1.70E-13     0.00      0.0    0.    0.  5     
D2CO+       O2                      O2D         DCO+                                7.70E-11     0.00      0.0    0.    0.  5     
C           O2                      CO          O                                   4.70E-11    -0.34      0.0    0.    0.  5     
O2                                  O           O                                   1.30E-17     0.00    375.5    0.    0.  2     
O           OH                      O2          H                                   3.50E-11     0.00      0.0    0.    0.  5     
C           O2+                     O2          C+                                  5.20E-11     0.00      0.0    0.    0.  5     
O           HPO+                    O2          PH+                                 2.00E-10     0.00      0.0    0.    0.  5     
H3+         CH3OH                   CH3+        H2O         H2                      3.71E-09    -0.50      0.0    0.    0.  5     
CH3OH                               CH3OH+      E-                                  1.30E-17     0.00    717.5    0.    0.  2     
H3+         CH3OH                   CH3OH2+     H2                                  8.40E-10    -0.50      0.0    0.    0.  5     
C+          CH3OH                   HCO         CH3+                                2.08E-09    -0.50      0.0    0.    0.  5     
CH3         OH-                     CH3OH       E-                                  1.00E-09     0.00      0.0    0.    0.  5     
CH3OD                               HDCO        H2                                  6.50E-18     0.00   1584.0    0.    0.  2     
CH3OD                               H2CO        HD                                  6.50E-18     0.00   1584.0    0.    0.  2     
CH3OD                               OH          CH2D                                9.75E-18     0.00    752.0    0.    0.  2     
CH3OD                               CH2DOH+     E-                                  9.75E-18     0.00    717.5    0.    0.  2     
CH3OD                               OD          CH3                                 3.25E-18     0.00    752.0    0.    0.  2     
CH3OD                               CH3OD+      E-                                  3.25E-18     0.00    717.5    0.    0.  2     
C+          CH3OD                   HCO         CH2D+                               1.56E-09    -0.50      0.0    0.    0.  5     
CH3OHD+     E-                      CH3OD       H                                   5.34E-09    -0.59      0.0    0.    0.  5     
CH2D        OH-                     CH3OD       E-                                  2.50E-10     0.00      0.0    0.    0.  5     
CH2DOH                              H2CO        HD                                  6.50E-18     0.00   1584.0    0.    0.  2     
CH2DOH                              OH          CH2D                                9.75E-18     0.00    752.0    0.    0.  2     
CH2DOH                              CH2DOH+     E-                                  9.75E-18     0.00    717.5    0.    0.  2     
CH2DOH                              OD          CH3                                 3.25E-18     0.00    752.0    0.    0.  2     
CH2DOH                              CH3OD+      E-                                  3.25E-18     0.00    717.5    0.    0.  2     
C+          CH2DOH                  HCO         CH2D+                               1.56E-09    -0.50      0.0    0.    0.  5     
CH3OHD+     E-                      CH2DOH      H                                   1.60E-08    -0.59      0.0    0.    0.  5     
CH2D        OH-                     CH2DOH      E-                                  7.50E-10     0.00      0.0    0.    0.  5     
CH2DOD                              HDCO        HD                                  8.67E-18     0.00   1584.0    0.    0.  2     
CH2DOD                              OD          CH2D                                6.50E-18     0.00    752.0    0.    0.  2     
CH2DOD                              OH          CHD2                                6.50E-18     0.00    752.0    0.    0.  2     
CH2DOD                              CHD2OH+     E-                                  6.50E-18     0.00    717.5    0.    0.  2     
CH2DOD                              CH2DOD+     E-                                  6.50E-18     0.00    717.5    0.    0.  2     
