  59  H2          O2          O2H         H                                    0.0000E+0000     2.40E-10      0.00     28500.0   5 A NN
  60  H2          S           HS          H                                    8.7620E-0284     1.76E-13      2.88      6126.0   5 A NN
  61  H2          O2H         H2O2        H                                    0.0000E+0000     4.38E-12      0.00     10751.0   5 A NN
  62  H2          HS          H2S         H                                    0.0000E+0000     6.52E-12      0.09      8050.0   5 C NN
  63  C           CH          C2          H                                    6.5900E-0011     6.59E-11      0.00         0.0   5 C NN
  64  C           CH2         CH          CH                                   0.0000E+0000     2.69E-12      0.00     23550.0   5 B NN
  65  C           CH2         C2H         H                                    1.0000E-0010     1.00E-10      0.00         0.0   5 C NN
  66  C           NH          N           CH                                   6.0491E-0186     1.73E-11      0.50      4000.0   5 C NN
  67  C           NH          CN          H                                    1.2000E-0010     1.20E-10      0.00         0.0   5 C NN
  68  C           CH3         C2H2        H                                    1.0000E-0010     1.00E-10      0.00         0.0   5 C NN
  69  C           NH2         HCN         H                                    1.1267E-0010     3.26E-11     -0.10        -9.0   5 B NN
  70  C           NH2         HNC         H                                    1.1267E-0010     3.26E-11     -0.10        -9.0   5 B NN
  71  C           NH2         NH          CH                                   0.0000E+0000     9.62E-13      0.00     10517.0   5 B NN
  72  C           OH          O           CH                                   0.0000E+0000     2.25E-11      0.50     14800.0   5 C NN
  73  C           OH          CO          H                                    1.0000E-0010     1.00E-10      0.00         0.0   5 C NN
  74  C           C2H         C3          H                                    1.0000E-0010     1.00E-10      0.00         0.0   5 C NN
  75  C           CN          C2          N                                    0.0000E+0000     4.98E-10      0.00     18116.0   5 A NN
  76  C           C2H2        C3          H2                                   2.1808E-0010     1.45E-10     -0.12         0.0   5 C NN
  77  C           C2H2        C3H         H                                    2.1808E-0010     1.45E-10     -0.12         0.0   5 A NN
  78  C           C2H3        C3H2        H                                    1.0000E-0010     1.00E-10      0.00         0.0   5 C NN
  79  C           CO          C2          O                                    0.0000E+0000     2.94E-11      0.50     58025.0   5 C NN
  80  C           N2          CN          N                                    0.0000E+0000     8.69E-11      0.00     22600.0   5 A NN
  81  C           H2CN        C2N         H2                                   2.0000E-0010     2.00E-10      0.00         0.0   5 C NN
  82  C           C2H4        C3H3        H                                    4.3612E-0010     3.00E-10     -0.11         0.0   5 A NN
  83  C           HCO         CO          CH                                   1.0000E-0010     1.00E-10      0.00         0.0   5 C NN
  84  C           HCO         C2O         H                                    1.0000E-0010     1.00E-10      0.00         0.0   5 C NN
  85  C           SiH         SiC         H                                    6.5900E-0011     6.59E-11      0.00         0.0   5 C NN
  86  C           C2H5        CH3CCH      H                                    2.0000E-0010     2.00E-10      0.00         0.0   5 C NN
  87  C           NO          CN          O                                    1.0339E-0010     6.00E-11     -0.16         0.0   5 A NN
  88  C           NO          CO          N                                    9.0000E-0011     9.00E-11      0.00         0.0   5 A NN
  89  C           SiH2        HCSi        H                                    1.0000E-0010     1.00E-10      0.00         0.0   5 C NN
  90  C           SiH3        SiCH2       H                                    1.0000E-0010     1.00E-10      0.00         0.0   5 C NN
  91  C           PH          CP          H                                    7.5000E-0011     7.50E-11      0.00         0.0   5 C NN
  92  C           O2          CO          O                                    1.4939E-0010     4.70E-11     -0.34         0.0   5 A NN
  93  C           O2          CO          O                                    0.0000E+0000     2.48E-12      1.54      -613.0   5 A NN
  94  C           HS          S           CH                                   7.1994E-0268     1.20E-11      0.58      5880.0   5 C NN
  95  C           HS          CS          H                                    1.0000E-0010     1.00E-10      0.00         0.0   5 C NN
  96  C           C3H         C4          H                                    1.0000E-0010     1.00E-10      0.00         0.0   5 C NN
  97  C           C3H2        C4H         H                                    1.0000E-0010     1.00E-10      0.00         0.0   5 C NN
  98  C           H2CCC       C4H         H                                    1.0000E-0010     1.00E-10      0.00         0.0   5 C NN
  99  C           C2N         C2          CN                                   1.0000E-0010     1.00E-10      0.00         0.0   5 C NN
 100  C           C3H3        H2CCCC      H                                    1.0000E-0010     1.00E-10      0.00         0.0   5 C NN
 101  C           C2O         C2          CO                                   2.0000E-0010     2.00E-10      0.00         0.0   5 C NN
 102  C           CH2CN       HC3N        H                                    1.0000E-0010     1.00E-10      0.00         0.0   5 C NN
 103  C           CH3CCH      C4H3        H                                    3.9251E-0010     2.70E-10     -0.11         0.0   5 C NN
 104  C           OCN         CO          CN                                   1.0000E-0010     1.00E-10      0.00         0.0   5 C NN
 105  C           CS          S           C2                                   0.0000E+0000     1.44E-11      0.50     20435.0   5 C NN
 106  C           NS          S           CN                                   2.5848E-0010     1.50E-10     -0.16         0.0   5 C NN
 107  C           NS          CS          N                                    6.0491E-0186     1.73E-11      0.50      4000.0   5 C NN
 108  C           HPO         PH          CO                                   4.0000E-0011     4.00E-11      0.00         0.0   5 C NN
 109  C           SO          S           CO                                   3.5000E-0011     3.50E-11      0.00         0.0   5 C NN
 110  C           SO          CS          O                                    3.5000E-0011     3.50E-11      0.00         0.0   5 C NN
 111  C           C4          C2          C3                                   1.0000E-0013     1.00E-13      0.00         0.0   5 C NN
 112  C           C4H         C5          H                                    1.0000E-0010     1.00E-10      0.00         0.0   5 C NN
 113  C           C3N         C3          CN                                   1.0000E-0013     1.00E-13      0.00         0.0   5 C NN
 114  C           H2CCCC      C5H         H                                    6.5000E-0010     6.50E-10      0.00         0.0   5 A NN
 115  C           C3O         C3          CO                                   1.0000E-0010     1.00E-10      0.00         0.0   5 C NN
 116  C           C4H3        C5H2        H                                    3.0000E-0010     3.00E-10      0.00         0.0   5 C NN
 117  C           NCCN        CN          C2N                                  3.0000E-0011     3.00E-11      0.00         0.0   5 C NN
 118  C           C5H         C6          H                                    1.0000E-0010     1.00E-10      0.00         0.0   5 C NN
 119  C           C5H2        C6H         H                                    5.3000E-0010     5.30E-10      0.00         0.0   5 A NN
 120  C           CH3C4H      C6H2        H2                                   6.5000E-0010     6.50E-10      0.00         0.0   5 A NN
 121  C           SO2         CO          SO                                   7.0000E-0011     7.00E-11      0.00         0.0   5 C NN
 122  C           S2          CS          S                                    7.0000E-0011     7.00E-11      0.00         0.0   5 C NN
 123  C           C6          C2          C5                                   1.0000E-0013     1.00E-13      0.00         0.0   5 C NN
 124  C           C6H         C7          H                                    2.0000E-0010     2.00E-10      0.00         0.0   5 C NN
 125  C           C5N         C5          CN                                   1.0000E-0013     1.00E-13      0.00         0.0   5 C NN
 126  C           C6H2        C7H         H                                    7.4000E-0010     7.40E-10      0.00         0.0   5 A NN
 127  C           C7H         C8          H                                    2.0000E-0010     2.00E-10      0.00         0.0   5 C NN
 128  C           C7H2        C8H         H                                    8.4000E-0010     8.40E-10      0.00         0.0   5 A NN
 129  C           CH3C6H      C8H2        H2                                   4.4872E-0010     8.00E-10      0.17         0.0   5 A NN
 130  C           C8          C2          C7                                   1.0000E-0013     1.00E-13      0.00         0.0   5 C NN
 131  C           C8H         C9          H                                    2.0000E-0010     2.00E-10      0.00         0.0   5 C NN
 132  C           C7N         C7          CN                                   1.0000E-0013     1.00E-13      0.00         0.0   5 C NN
 133  C           C8H2        C9H         H                                    9.0000E-0010     9.00E-10      0.00         0.0   5 A NN
 134  C           C9H         C10         H                                    2.0000E-0010     2.00E-10      0.00         0.0   5 C NN
 135  C           C9N         C9          CN                                   1.0000E-0013     1.00E-13      0.00         0.0   5 C NN
 136  CH          N           NH          C                                    1.2646E-0064     3.03E-11      0.65      1207.0   5 B NN
 137  CH          N           CN          H                                    2.2545E-0010     1.66E-10     -0.09         0.0   5 A NN
 138  CH          O           OH          C                                    9.9057E-0115     2.52E-11      0.00      2381.0   5 B NN
 139  CH          O           CO          H                                    6.6000E-0011     6.60E-11      0.00         0.0   5 A NN
 140  CH          O           CO          H                                    0.0000E+0000     1.02E-10      0.00       914.0   5 A NN
 141  CH          CH4         CH3         CH2                                  1.0854E-0142     2.28E-11      0.70      3000.0   5 C NN
 142  CH          CH4         C2H4        H                                    9.8613E-0011     1.05E-10     -1.04        36.0   5 A NN
 143  CH          OH          HCO         H                                    1.8731E-0229     1.44E-11      0.50      5000.0   5 C NN
 144  CH          NH3         CH2NH       H                                    1.0194E-0010     1.69E-10     -0.41        19.0   5 B NN
 145  CH          C2H2        C3H2        H                                    3.3900E-0010     3.39E-10      0.00         0.0   5 B NN
 146  CH          N2          HCN         N                                    0.0000E+0000     5.60E-13      0.88     10128.0   5 B NN
 147  CH          HCO         CO          CH2                                  5.1189E-0035     2.87E-12      0.70       500.0   5 C NN
 148  CH          NO          HCN         O                                    1.8673E-0010     1.20E-10     -0.13         0.0   5 A NN
 149  CH          NO          CN          OH                                   1.4000E-0010     1.40E-10      0.00         0.0   5 A NN
 150  CH          NO          HCO         N                                    1.8050E-0011     1.16E-11     -0.13         0.0   5 C NN
 151  CH          NO          OCN         H                                    4.1000E-0011     4.10E-11      0.00         0.0   5 A NN
 152  CH          H2CO        HCO         CH2                                  1.1786E-0099     9.21E-12      0.70      2000.0   5 C NN
 153  CH          HNO         NO          CH2                                  1.7300E-0011     1.73E-11      0.00         0.0   5 C NN
 154  CH          O2          CO          OH                                   2.6000E-0011     2.60E-11      0.00         0.0   5 A NN
 155  CH          O2          HCO         O                                    6.8554E-0143     1.44E-11      0.70      3000.0   5 A NN
 156  CH          S           HS          C                                    6.0491E-0186     1.73E-11      0.50      4000.0   5 C NN
 157  CH          S           CS          H                                    5.0000E-0011     5.00E-11      0.00         0.0   5 C NN
