H2          HCN+                    HCNH+       H                                   9.00E-10     0.00      0.0   10.41000.  5 A IN
H3+         N2                      HN2+        H2                                  1.80E-09     0.00      0.0   10.41000.  5 A IN
N           NH                      N2          H                                   4.98E-11     0.00      0.0   10. 1400.  5 A NN
N           NH+                     N2+         H                                   1.30E-09     0.00      0.0   10.41000.  5 C IN
H3S+        E-                      HS          H           H                       1.85E-07    -0.50      0.0   10.  300.  5 A DR
H2          HS+                     H3S+                                            2.40E-16    -0.80      0.0   10.  300.  5 C RA
S                                   S+          E-                                  1.30E-17     0.00    480.0   10.41000.  2 C CR
O           NS+                     S           NO+                                 6.10E-10     0.00      0.0   10.41000.  5 C IN
HS+         E-                      S           H                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
H2          C+                      CH2+                                            4.00E-16    -0.20      0.0   10.  300.  5 C RA
C                                   C+          E-                                  1.30E-17     0.00    255.0   10.41000.  2 C CR
H2          S+                      H2S+                                            1.00E-17    -0.20      0.0   10.  300.  5 A RA
Fe                                  Fe+         E-                                  1.30E-17     0.00    750.0   10.41000.  2 A CR
H-          Fe+                     Fe          H                                   2.30E-07    -0.50      0.0   10.  300.  5 C II
H+          S                       S+          H                                   1.30E-09     0.00      0.0   10.41000.  5 C CE
H+          Fe                      Fe+         H                                   7.40E-09     0.00      0.0   10.41000.  5 C CE
H2                                  H+          H           E-                      2.20E-19     0.00      0.0   10.41000.  1 C CP
CO2                                 CO          O                                   1.30E-17     0.00    854.0   10.41000.  2 C CR
CH          O                       CO          H                                   6.60E-11     0.00      0.0   10. 2000.  5 A NN
H-          C                       CH          E-                                  1.00E-09     0.00      0.0   10.41000.  5 C AD
H2          NH+                     NH2+        H                                   1.28E-09     0.00      0.0   10.41000.  5 A IN
H2+         N                       NH+         H                                   1.90E-09     0.00      0.0   10.41000.  5 C IN
C           NO                      CN          O                                   6.00E-11    -0.16      0.0   10.41000.  5 A NN
N           OH                      NO          H                                   7.50E-11    -0.18      0.0   10.  100.  5 A NN
C           C2H4+                   H2C3H+      H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C2H4+                   C3H2+       H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
H2          C2H2+                   C2H4+                                           2.34E-14    -1.50      0.0   10.  300.  5 A RA
H2          O-                      H2O         E-                                  7.00E-10     0.00      0.0   10.41000.  5 C AD
O           E-                      O-                                              1.50E-15     0.00      0.0   10.41000.  5 C RR
