H2CO        O2D                     HDO2        HCO                                 2.20E-12     0.00   5870.0    0.    0.  5     
N           O2H                     O2          NH                                  1.70E-13     0.00      0.0    0.    0.  5     
H2CO+       O2                      O2H         HCO+                                7.70E-11     0.00      0.0    0.    0.  5     
N           O2D                     O2          ND                                  1.70E-13     0.00      0.0    0.    0.  5     
HDCO+       O2                      O2D         HCO+                                3.85E-11     0.00      0.0    0.    0.  5     
C           O2                      CO          O                                   4.70E-11    -0.34      0.0    0.    0.  5     
CH          CH3OH                   CH3         H2CO                                2.49E-10    -1.93      0.0    0.    0.  5     
H3O+        CH3OH                   CH3OH2+     H2O                                 2.50E-09    -0.50      0.0    0.    0.  5     
CH3OH2+     E-                      CH3OH       H                                   2.67E-08    -0.59      0.0    0.    0.  5     
CH          CH3OD                   CH2D        H2CO                                1.49E-10    -1.93      0.0    0.    0.  5     
CH          CH3OD                   CH3         HDCO                                9.96E-11    -1.93      0.0    0.    0.  5     
C+          CH3OD                   HCO         CH2D+                               1.56E-09    -0.50      0.0    0.    0.  5     
CH2DOH2+    E-                      CH3OD       H                                   5.34E-09    -0.59      0.0    0.    0.  5     
CH3OHD+     E-                      CH3OD       H                                   5.34E-09    -0.59      0.0    0.    0.  5     
CH          CH2DOH                  CH2D        H2CO                                1.49E-10    -1.93      0.0    0.    0.  5     
CH          CH2DOH                  CH3         HDCO                                9.96E-11    -1.93      0.0    0.    0.  5     
C+          CH2DOH                  HCO         CH2D+                               1.56E-09    -0.50      0.0    0.    0.  5     
CH2DOH2+    E-                      CH2DOH      H                                   1.60E-08    -0.59      0.0    0.    0.  5     
CH3OHD+     E-                      CH2DOH      H                                   1.60E-08    -0.59      0.0    0.    0.  5     
CH          CH2DOD                  CH2D        HDCO                                1.49E-10    -1.93      0.0    0.    0.  5     
CH          CH2DOD                  CHD2        H2CO                                7.47E-11    -1.93      0.0    0.    0.  5     
CH          CH2DOD                  CH3         D2CO                                2.49E-11    -1.93      0.0    0.    0.  5     
HCO+        CH2DOD                  CH2DOHD+    CO                                  1.62E-09    -0.50      0.0    0.    0.  5     
CHD2OH2+    E-                      CH2DOD      H                                   8.01E-09    -0.59      0.0    0.    0.  5     
CD3OH2+     E-                      CH2DOD      D                                   8.01E-09    -0.59      0.0    0.    0.  5     
CH          CHD2OH                  CH2D        HDCO                                1.49E-10    -1.93      0.0    0.    0.  5     
CH          CHD2OH                  CHD2        H2CO                                7.47E-11    -1.93      0.0    0.    0.  5     
CH          CHD2OH                  CH3         D2CO                                2.49E-11    -1.93      0.0    0.    0.  5     
HCO+        CHD2OH                  CH2DOHD+    CO                                  1.62E-09    -0.50      0.0    0.    0.  5     
CHD2OH2+    E-                      CHD2OH      H                                   8.01E-09    -0.59      0.0    0.    0.  5     
CD3OH2+     E-                      CHD2OH      D                                   8.01E-09    -0.59      0.0    0.    0.  5     
CH          CHD2OD                  CHD2        HDCO                                1.49E-10    -1.93      0.0    0.    0.  5     
CH          CHD2OD                  CH2D        D2CO                                7.47E-11    -1.93      0.0    0.    0.  5     
CH          CHD2OD                  CD3         H2CO                                2.49E-11    -1.93      0.0    0.    0.  5     
C+          CHD2OD                  DCO         CHD2+                               1.56E-09    -0.50      0.0    0.    0.  5     
CD3OH2+     E-                      CHD2OD      H                                   8.01E-09    -0.59      0.0    0.    0.  5     
CHD2OHD+    E-                      CHD2OD      H                                   8.01E-09    -0.59      0.0    0.    0.  5     
CH          CD3OH                   CHD2        HDCO                                1.49E-10    -1.93      0.0    0.    0.  5     
CH          CD3OH                   CH2D        D2CO                                7.47E-11    -1.93      0.0    0.    0.  5     
CH          CD3OH                   CD3         H2CO                                2.49E-11    -1.93      0.0    0.    0.  5     
C+          CD3OH                   DCO         CHD2+                               1.56E-09    -0.50      0.0    0.    0.  5     
CD3OH2+     E-                      CD3OH       H                                   2.67E-09    -0.59      0.0    0.    0.  5     
CHD2OHD+    E-                      CD3OH       H                                   2.67E-09    -0.59      0.0    0.    0.  5     
CH          CD3OD                   CHD2        D2CO                                1.49E-10    -1.93      0.0    0.    0.  5     
CH          CD3OD                   CD3         HDCO                                9.96E-11    -1.93      0.0    0.    0.  5     
C+          CD3OD                   DCO         CD3+                                2.08E-09    -0.50      0.0    0.    0.  5     
CD3OHD+     E-                      CD3OD       H                                   5.34E-09    -0.59      0.0    0.    0.  5     
O           H2CO                    CO          OH          H                       1.00E-10     0.00      0.0    0.    0.  5     
CH3         O                       H2CO        H                                   1.30E-10     0.00      0.0    0.    0.  5     
O           HDCO                    CO          OD          H                       5.00E-11     0.00      0.0    0.    0.  5     
O           HDCO                    CO          OH          D                       5.00E-11     0.00      0.0    0.    0.  5     
CH2D        O                       HDCO        H                                   8.67E-11     0.00      0.0    0.    0.  5     
O           D2CO                    CO          OD          D                       1.00E-10     0.00      0.0    0.    0.  5     
CHD2        O                       D2CO        H                                   4.33E-11     0.00      0.0    0.    0.  5     
He+         CH4                     CH2+        He          H2                      9.50E-10     0.00      0.0    0.    0.  5     
C+          CH4                     C2H3+       H                                   1.10E-09     0.00      0.0    0.    0.  5     
CH4                                 CH2         H2                                  1.30E-17     0.00   1169.5    0.    0.  2     
H3+         CH4                     CH5+        H2                                  2.40E-09     0.00      0.0    0.    0.  5     
H+          CH4                     CH3+        H2                                  2.30E-09     0.00      0.0    0.    0.  5     
He+         CH4                     CH3         He          H+                      4.80E-10     0.00      0.0    0.    0.  5     
H+          CH4                     CH4+        H                                   1.50E-09     0.00      0.0    0.    0.  5     
C           CH5+                    CH4         CH+                                 1.20E-09     0.00      0.0    0.    0.  5     
C+          CH3D                    C2H2D+      H                                   8.25E-10     0.00      0.0    0.    0.  5     
He+         CH3D                    CH2+        He          HD                      4.75E-10     0.00      0.0    0.    0.  5     
He+         CH3D                    CHD+        He          H2                      4.75E-10     0.00      0.0    0.    0.  5     
He+         CH3D                    CH2D        He          H+                      3.60E-10     0.00      0.0    0.    0.  5     
H+          CH3D                    CH2D+       H2                                  1.38E-09     0.00      0.0    0.    0.  5     
CH3D                                CH2         HD                                  6.50E-18     0.00   1169.5    0.    0.  2     
CH3D                                CHD         H2                                  6.50E-18     0.00   1169.5    0.    0.  2     
H+          CH3D                    CH3D+       H                                   1.20E-09     0.00      0.0    0.    0.  5     
CH          CH3D                    C2H3D       H                                   8.40E-11    -1.04     36.0    0.    0.  5     
C           CH4D+                   CH3D        CH+                                 9.60E-10     0.00      0.0    0.    0.  5     
He+         CH2D2                   CHD+        He          HD                      6.33E-10     0.00      0.0    0.    0.  5     
