! 2012-03-20 Tue 11:59:57
! This file contains the driving reactions for gas phase deuteration.
! References:
!   Roberts00: A&A, 361, 388
!   Roberts04: A&A, 424, 905
!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678912345678912345678912345612345612312123
!++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
!   Roberts00
!----------------------------------------------------------------------
C2H2+       H2                      C2H4+                                             2.3E-14    -1.5       0.0     0   200  5     
C2H2+       HD                      C2H3D+                                            0.0                   0.0     0   200  5     
C2HD+       H2                      C2H3D+                                           3.39E-14    -1.5       0.0     0   200  5     
CH3+        H2O                     CH3OH2+                                           5.5E-12    -1.7       0.0     0   200  5     
CH3+        HDO                     CH3OHD+                                           1.1E-11    -1.7       0.0     0   200  5     
CH3+        D2O                     CH3OD2+                                          1.65E-11    -1.7       0.0     0   200  5     
CH2D+       H2O                     CH2DOH2+                                          1.1E-11    -1.7       0.0     0   200  5     
CH2D+       HDO                     CH2DOHD+                                         1.65E-11    -1.7       0.0     0   200  5     
CH2D+       D2O                     CH2DOD2+                                          2.2E-11    -1.7       0.0     0   200  5     
CHD2+       H2O                     CHD2OH2+                                         1.65E-11    -1.7       0.0     0   200  5     
CHD2+       HDO                     CHD2OHD+                                          2.2E-11    -1.7       0.0     0   200  5     
CHD2+       D2O                     CHD2OD2+                                         2.75E-11    -1.7       0.0     0   200  5     
CD3+        H2O                     CD3OH2+                                           2.2E-11    -1.7       0.0     0   200  5     
CD3+        HDO                     CD3OHD+                                          2.75E-11    -1.7       0.0     0   200  5     
CD3+        D2O                     CD3OD2+                                          2.75E-11    -1.7       0.0     0   200  5     
!----------------------------------------------------------------------
