!Grain reactions+++++++++++++++++++++++++++++++++++++++++++++++++++++++
! 2012-03-26 Mon 16:56:53
!   First completed version.
!   Some of the parameters for the H2 + OH and the deuteration and abstraction
!   reactions of H2CO and CH3OH may not be correcte and need to be tuned.
! 2011-05-27 Fri 13:19:22 DFJ
!   This is the surface network.
!   It contains five sections:
!     1. Adsorption of gas phase species.
!     2. Desorption of surface species.
!     3. Reactions on the grain surface.
!     4. Chemical desorption reactions, which is practically a subset of section 3, except the products are gas phase species.
!     5. Dissociation of surface species by cosmic ray induced photons.
!   The first two usually are not considered as surface reactions.
! Reference list:
!   HHL92: Hasegawa et al. 1992
!   ICet08: Ioppolo et al. 2008, ApJ, 686, 1474
!   ICet10: Ioppolo et al. 2010, PCCP, 12, 12065
!   CIRL10: Cuppen et al. 2010, PCCP,12, 12077
!   HH93: Hasegawa and Herbst 1993 MNRAS, 261, 83
!   GMet08: Goumans et al. 2008, MNRAS, 384, 1158 [also contains some desorption barrier data for other species]
!   RH01: Ruffle and Herbst 2001, MNRAS, 324, 1054 [interesting discussions]
!   TH82: Tielens and Hagen 1982, A&A, 114, 245
!   FCet09: Fuchs et al. 2009, A&A, 505, 629
!   ABet04: Atkinson et al. 2004, Atmos. Chem. Phys., 4, 1461
!   AR77: Allen and Robinson 1977, ApJ, 212, 396
!   KT05: Keane and Tielens 2005, ***
!   SH04: Stantcheva and Herbst 2004, ApJ, 423, 241
!   MCet09: Mokrane et al. 2009, ApJ, 705, 195
!   Woon02; n=3, QCISD*, Clust, ZPE: *4.1858/8.314
!   GWH08: Garrod et al. 2008
!----------------------------------------------------------------------
!++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
! 1. Adsorption of gaseous species.
!    74 reactions in total.
!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678912345678912345678912345612345612312123
gO                                  O                                                1.0                  800.0             62      !HH93
gOH                                 OH                                               1.0                 2850.0             62      !HH93
gOD                                 OD                                               1.0                 2850.0             62
gO2                                 O2                                               1.0                 1210.0             62      !HH93
gH2O                                H2O                                              1.0                 5700.0             62      !HH93
gHDO                                HDO                                              1.0                 5700.0             62
gD2O                                D2O                                              1.0                 5700.0             62
gCO                                 CO                                               1.0                 1210.0             62      !HH93
gHCO                                HCO                                              1.0                 1510.0             62      !HH93
gDCO                                DCO                                              1.0                 1510.0             62
gH2CO                               H2CO                                             1.0                 2050.0             62      !HH93
gHDCO                               HDCO                                             1.0                 2050.0             62
gD2CO                               D2CO                                             1.0                 2050.0             62
gCH3OH                              CH3OH                                            1.0                 5530.0             62      !HH93
gCH2DOH                             CH2DOH                                           1.0                 5530.0             62
gCHD2OH                             CHD2OH                                           1.0                 5530.0             62
gCD3OH                              CD3OH                                            1.0                 5530.0             62
gCH3OD                              CH3OD                                            1.0                 5530.0             62
gCH2DOD                             CH2DOD                                           1.0                 5530.0             62
gCHD2OD                             CHD2OD                                           1.0                 5530.0             62
gCO2                                CO2                                              1.0                 2500.0             62      !HH93
gC                                  C                                                1.0                  800.0             62      !HH93
gCH                                 CH                                               1.0                  654.0             62      !HH93
gCD                                 CD                                               1.0                  654.0             62
gCH2                                CH2                                              1.0                  956.0             62      !HH93
gCHD                                CHD                                              1.0                  956.0             62
gCD2                                CD2                                              1.0                  956.0             62
gCH3                                CH3                                              1.0                 1160.0             62      !HH93
gCH2D                               CH2D                                             1.0                 1160.0             62
gCHD2                               CHD2                                             1.0                 1160.0             62
gCD3                                CD3                                              1.0                 1160.0             62
gCH4                                CH4                                              1.0                 1360.0             62      !HH93
gCH3D                               CH3D                                             1.0                 1360.0             62
gCH2D2                              CH2D2                                            1.0                 1360.0             62
gCHD3                               CHD3                                             1.0                 1360.0             62
gN                                  N                                                1.0                  800.0             62      !HH93
gNH                                 NH                                               1.0                  604.0             62      !HH93
gND                                 ND                                               1.0                  604.0             62
gNH2                                NH2                                              1.0                  856.0             62      !HH93
gNHD                                NHD                                              1.0                  856.0             62
gND2                                ND2                                              1.0                  856.0             62
gNH3                                NH3                                              1.0                 1110.0             62      !HH93
gNH2D                               NH2D                                             1.0                 1110.0             62
gNHD2                               NHD2                                             1.0                 1110.0             62
gND3                                ND3                                              1.0                 1110.0             62
gN2                                 N2                                               1.0                 1210.0             62      !HH93
gNO                                 NO                                               1.0                 1210.0             62      !HH93
gO2H                                O2H                                              1.0                 1510.0             62      !HH93
