!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678912345678912345678912345612345612312123     w  j  i  t
D2          CH2+                    CH2D+       D                                    8.00E-10     0.00      0.0              5       !  3  2  1  2
HD          CHD+                    CHD2+       H                                    8.00E-10     0.00      0.0              5       !  3  1  2  2
HD          CHD+                    CH2D+       D                                    8.00E-10     0.00      0.0              5       !  3  2  2  2
H2          CD2+                    CHD2+       H                                    8.00E-10     0.00      0.0              5       !  3  1  3  2
H2          CD2+                    CH2D+       D                                    8.00E-10     0.00      0.0              5       !  3  2  3  2
D2          CHD+                    CD3+        H                                    4.00E-10     0.00      0.0              5       !  1  1  1  3
D2          CHD+                    CHD2+       D                                    1.20E-09     0.00      0.0              5       !  3  2  1  3
HD          CD2+                    CD3+        H                                    4.00E-10     0.00      0.0              5       !  1  1  2  3
HD          CD2+                    CHD2+       D                                    1.20E-09     0.00      0.0              5       !  3  2  2  3
D2          CD2+                    CD3+        D                                    1.60E-09     0.00      0.0              5       !  1  1  1  4
H2          CH+                     CH2+        H                                    1.20E-09     0.00      0.0              5
HD          CH+                     CHD+        H                                    8.00E-10     0.00      0.0              5       !  2  1  1  1
HD          CH+                     CH2+        D                                    4.00E-10     0.00      0.0              5       !  1  2  1  1
H2          CD+                     CHD+        H                                    8.00E-10     0.00      0.0              5       !  2  1  2  1
H2          CD+                     CH2+        D                                    4.00E-10     0.00      0.0              5       !  1  2  2  1
D2          CH+                     CD2+        H                                    4.00E-10     0.00      0.0              5       !  1  1  1  2
D2          CH+                     CHD+        D                                    8.00E-10     0.00      0.0              5       !  2  2  1  2
HD          CD+                     CD2+        H                                    4.00E-10     0.00      0.0              5       !  1  1  2  2
HD          CD+                     CHD+        D                                    8.00E-10     0.00      0.0              5       !  2  2  2  2
D2          CD+                     CD2+        D                                    1.20E-09     0.00      0.0              5       !  1  1  1  3
H2          H2O+                    H3O+        H                                    6.40E-10     0.00      0.0              5
HD          H2O+                    H2DO+       H                                    4.80E-10     0.00      0.0              5       !  3  1  1  1
HD          H2O+                    H3O+        D                                    1.60E-10     0.00      0.0              5       !  1  2  1  1
H2          HDO+                    H2DO+       H                                    4.80E-10     0.00      0.0              5       !  3  1  2  1
H2          HDO+                    H3O+        D                                    1.60E-10     0.00      0.0              5       !  1  2  2  1
D2          H2O+                    HD2O+       H                                    3.20E-10     0.00      0.0              5       !  3  1  1  2
D2          H2O+                    H2DO+       D                                    3.20E-10     0.00      0.0              5       !  3  2  1  2
HD          HDO+                    HD2O+       H                                    3.20E-10     0.00      0.0              5       !  3  1  2  2
HD          HDO+                    H2DO+       D                                    3.20E-10     0.00      0.0              5       !  3  2  2  2
H2          D2O+                    HD2O+       H                                    3.20E-10     0.00      0.0              5       !  3  1  3  2
H2          D2O+                    H2DO+       D                                    3.20E-10     0.00      0.0              5       !  3  2  3  2
D2          HDO+                    D3O+        H                                    1.60E-10     0.00      0.0              5       !  1  1  1  3
D2          HDO+                    HD2O+       D                                    4.80E-10     0.00      0.0              5       !  3  2  1  3
HD          D2O+                    D3O+        H                                    1.60E-10     0.00      0.0              5       !  1  1  2  3
HD          D2O+                    HD2O+       D                                    4.80E-10     0.00      0.0              5       !  3  2  2  3
D2          D2O+                    D3O+        D                                    6.40E-10     0.00      0.0              5       !  1  1  1  4
H2          OH+                     H2O+        H                                    1.01E-09     0.00      0.0              5
HD          OH+                     HDO+        H                                    6.73E-10     0.00      0.0              5       !  2  1  1  1
HD          OH+                     H2O+        D                                    3.37E-10     0.00      0.0              5       !  1  2  1  1
H2          OD+                     HDO+        H                                    6.73E-10     0.00      0.0              5       !  2  1  2  1
H2          OD+                     H2O+        D                                    3.37E-10     0.00      0.0              5       !  1  2  2  1
D2          OH+                     D2O+        H                                    3.37E-10     0.00      0.0              5       !  1  1  1  2
D2          OH+                     HDO+        D                                    6.73E-10     0.00      0.0              5       !  2  2  1  2
HD          OD+                     D2O+        H                                    3.37E-10     0.00      0.0              5       !  1  1  2  2
HD          OD+                     HDO+        D                                    6.73E-10     0.00      0.0              5       !  2  2  2  2
D2          OD+                     D2O+        D                                    1.01E-09     0.00      0.0              5       !  1  1  1  3
H3O+        E-                      OH          H           H                        2.58E-07    -0.50      0.0              5
H2DO+       E-                      OD          H           H                        8.60E-08    -0.50      0.0              5       !  1  1  1  1
H2DO+       E-                      OH          D           H                        1.72E-07    -0.50      0.0              5       !  2  2  1  1
HD2O+       E-                      OD          D           H                        1.72E-07    -0.50      0.0              5       !  2  1  1  2
HD2O+       E-                      OH          D           D                        8.60E-08    -0.50      0.0              5       !  1  3  1  2
D3O+        E-                      OD          D           D                        2.58E-07    -0.50      0.0              5       !  1  1  1  3
CH2         O                       CO          H           H                        1.33E-10     0.00      0.0              5
CHD         O                       CO          D           H                        1.33E-10     0.00      0.0              5       !  2  1  1  1
CD2         O                       CO          D           D                        1.33E-10     0.00      0.0              5       !  1  1  1  2
H3+         O                       H2O+        H                                    3.60E-10     0.00      0.0              5
H2D+        O                       HDO+        H                                    2.40E-10     0.00      0.0              5       !  2  1  1  1
H2D+        O                       H2O+        D                                    1.20E-10     0.00      0.0              5       !  1  2  1  1
HD2+        O                       D2O+        H                                    1.20E-10     0.00      0.0              5       !  1  1  1  2
HD2+        O                       HDO+        D                                    2.40E-10     0.00      0.0              5       !  2  2  1  2
D3+         O                       D2O+        D                                    3.60E-10     0.00      0.0              5       !  1  1  1  3
H2          C2H+                    C2H2+       H                                    1.10E-09     0.00      0.0              5
HD          C2H+                    C2HD+       H                                    7.33E-10     0.00      0.0              5       !  2  1  1  1
HD          C2H+                    C2H2+       D                                    3.67E-10     0.00      0.0              5       !  1  2  1  1
H2          C2D+                    C2HD+       H                                    7.33E-10     0.00      0.0              5       !  2  1  2  1
H2          C2D+                    C2H2+       D                                    3.67E-10     0.00      0.0              5       !  1  2  2  1
D2          C2H+                    C2D2+       H                                    3.67E-10     0.00      0.0              5       !  1  1  1  2
D2          C2H+                    C2HD+       D                                    7.33E-10     0.00      0.0              5       !  2  2  1  2
HD          C2D+                    C2D2+       H                                    3.67E-10     0.00      0.0              5       !  1  1  2  2
HD          C2D+                    C2HD+       D                                    7.33E-10     0.00      0.0              5       !  2  2  2  2
D2          C2D+                    C2D2+       D                                    1.10E-09     0.00      0.0              5       !  1  1  1  3
H3O+        E-                      H2O         H                                    1.08E-07    -0.50      0.0              5
