HF             0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   1   2.00000E+01   0.00E+00   0.00E+00        NaN
HNC            0   0   0   1   0   0   1   1   0   0   0   0   0   0   0   0   0   2.70000E+01   0.00E+00   0.00E+00        NaN
C3             0   0   0   0   0   0   3   0   0   0   0   0   0   0   0   0   0   3.60000E+01   0.00E+00   0.00E+00        NaN
C3H            0   0   0   1   0   0   3   0   0   0   0   0   0   0   0   0   0   3.70000E+01   0.00E+00   0.00E+00        NaN
C3H2           0   0   0   2   0   0   3   0   0   0   0   0   0   0   0   0   0   3.80000E+01   0.00E+00   0.00E+00        NaN
C2N            0   0   0   0   0   0   2   1   0   0   0   0   0   0   0   0   0   3.80000E+01   0.00E+00   0.00E+00        NaN
C2H4           0   0   0   4   0   0   2   0   0   0   0   0   0   0   0   0   0   2.80000E+01   0.00E+00   0.00E+00        NaN
C3H3           0   0   0   3   0   0   3   0   0   0   0   0   0   0   0   0   0   3.90000E+01   0.00E+00   0.00E+00        NaN
C2O            0   0   0   0   0   0   2   0   1   0   0   0   0   0   0   0   0   4.00000E+01   0.00E+00   0.00E+00        NaN
SiH            0   0   0   1   0   0   0   0   0   1   0   0   0   0   0   0   0   2.90000E+01   0.00E+00   0.00E+00        NaN
SiC            0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   4.00000E+01   0.00E+00   0.00E+00        NaN
C2H5           0   0   0   5   0   0   2   0   0   0   0   0   0   0   0   0   0   2.90000E+01   0.00E+00   0.00E+00        NaN
CH3CCH         0   0   0   4   0   0   3   0   0   0   0   0   0   0   0   0   0   4.00000E+01   0.00E+00   0.00E+00        NaN
SiH2           0   0   0   2   0   0   0   0   0   1   0   0   0   0   0   0   0   3.00000E+01   0.00E+00   0.00E+00        NaN
HCSi           0   0   0   1   0   0   1   0   0   1   0   0   0   0   0   0   0   4.10000E+01   0.00E+00   0.00E+00        NaN
SiH3           0   0   0   3   0   0   0   0   0   1   0   0   0   0   0   0   0   3.10000E+01   0.00E+00   0.00E+00        NaN
SiCH2          0   0   0   2   0   0   1   0   0   1   0   0   0   0   0   0   0   4.20000E+01   0.00E+00   0.00E+00        NaN
PH             0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   1   0   3.20000E+01   0.00E+00   0.00E+00        NaN
CP             0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   1   0   4.30000E+01   0.00E+00   0.00E+00        NaN
CS             0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0   0   4.40000E+01   0.00E+00   0.00E+00        NaN
C4             0   0   0   0   0   0   4   0   0   0   0   0   0   0   0   0   0   4.80000E+01   0.00E+00   0.00E+00        NaN
C4H            0   0   0   1   0   0   4   0   0   0   0   0   0   0   0   0   0   4.90000E+01   0.00E+00   0.00E+00        NaN
H2CCC          0   0   0   2   0   0   3   0   0   0   0   0   0   0   0   0   0   3.80000E+01   0.00E+00   0.00E+00        NaN
H2CCCC         0   0   0   2   0   0   4   0   0   0   0   0   0   0   0   0   0   5.00000E+01   0.00E+00   0.00E+00        NaN
CH2CN          0   0   0   2   0   0   2   1   0   0   0   0   0   0   0   0   0   4.00000E+01   0.00E+00   0.00E+00        NaN
