  52  H2          CH3                     CH4         H                                        1.1123-133   1.00E+00   6.86E-14       2.74    4740.00      30.00   5
  53  H2          O                       OH          H                                        1.9067E-98   1.00E+00   3.14E-13       2.70    3150.00      29.70   5
  54  H2          NH2                     NH3         H                                        4.9697E-64   1.00E+00   2.05E-15       3.89    1400.00      20.00   5
  55  H2          OH                      H2O         H                                        1.5400E-65   1.00E+00   2.05E-12       1.52    1736.00      25.00   5
  56  H2          F                       HF          H                                        4.7239E-33   1.00E+00   1.00E-10       0.00     400.00      16.00   5
  57  H2          CN                      HCN         H                                        6.0970E-48   1.00E+00   4.04E-13       2.87     820.00      20.00   5
  58  H2          O2                      OH          OH                                       0.0000E+00   1.00E+00   3.16E-10       0.00   21890.00      30.00   5
  59  H2          O2                      O2H         H                                        0.0000E+00   1.00E+00   2.40E-10       0.00   28500.00      30.00   5
  60  H2          S                       HS          H                                        1.5637-163   1.00E+00   1.76E-13       2.88    6126.00      91.00   5
  61  H2          O2H                     H2O2        H                                        3.5210-259   1.00E+00   4.38E-12       0.00   10751.00      30.00   5
  62  H2          HS                      H2S         H                                        1.8410-200   1.00E+00   6.52E-12       0.09    8050.00      26.80   5
  63  C           CH                      C2          H                                        1.5103E-24   1.00E+00   6.59E-11       0.00       0.00       1.00   5
  64  C           CH2                     CH          CH                                       0.0000E+00   1.00E+00   2.69E-12       0.00   23550.00     100.00   5
  65  C           CH2                     C2H         H                                        2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
  66  C           NH                      N           CH                                       1.4167-112   1.00E+00   1.73E-11       0.50    4000.00      13.30   5
  67  C           NH                      CN          H                                        2.7502E-24   1.00E+00   1.20E-10       0.00       0.00       1.00   5
  68  C           CH3                     C2H2        H                                        2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
  69  C           NH2                     HCN         H                                        1.5362E-24   1.00E+00   3.26E-11      -0.10      -9.00       1.00   5
  70  C           NH2                     HNC         H                                        1.5362E-24   1.00E+00   3.26E-11      -0.10      -9.00       1.00   5
  71  C           NH2                     NH          CH                                       9.3241-255   1.00E+00   9.62E-13       0.00   10517.00     100.00   5
  72  C           OH                      O           CH                                       0.0000E+00   1.00E+00   2.25E-11       0.50   14800.00      49.30   5
  73  C           OH                      CO          H                                        2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
  74  C           C2H                     C3          H                                        2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
